Model,macro_F1,Scratch_recall,Donut_recall,date,macro_f1,scratch_recall,donut_recall,binary_defect_recall,stage,gate,gate_result
ML (XGBoost),0.7047041419215928,0.2845188284518828,0.7657657657657657,,,,,,,,
CNN,0.7664943544123004,0.7740585774058577,0.8378378378378378,,,,,,,,
Hybrid,0.9377400400317716,0.945364238410596,0.8648648648648649,,,,,,,,
,,,,2026-05-28,,,,,,,
,,,,2026-05-28,,,,,4,,
,,,,2026-05-28,,,,,3,3,PASSED
,,,,2026-05-27,,,,,3,3,PASSED
,,,,2026-05-26,,,,,3,,
,,,,2026-05-26,0.7047,0.2845,0.7658,,4-2,,
,,,,2026-05-26,0.7434,0.2343,0.7748,,4-2,,
,,,,2026-05-26,,,,,4-1,,
,,,,2026-05-22,,,,,3,,
,,,,2026-05-26,,,,,3,1,FAILED
,,,,2026-05-26,,,,,3,1,PASSED
,,,,2026-05-26,0.93,,,0.8225,4-1,2,FAILED
,,,,2026-05-26,,,,0.9146,4-1,,
,,,,2026-05-26,0.79,0.77,0.84,,4-2,,
,,,,2026-05-26,0.8696,0.795,0.7838,,4-2,2,PASSED
,,,,2026-05-26,,,,,5,,
,,,,2026-05-26,0.86,0.0,0.0,0.0,5,3,PASSED
